addr,x,y,z,xdbu,ydbu,layer,hasEastEdge,hasNorthEdge,hasUpEdge,isBlockedEast,isBlockedNorth,isBlockedUp,hasSpecialVia,overrideShapeCostVia,hasGridCostEast,hasGridCostNorth,hasGridCostUp,hasApCostEast,hasApCostNorth,hasApCostUp,routeShapeCostPlanar,routeShapeCostVia,markerCostPlanar,markerCostVia,fixedShapeCostVia,fixedShapeCostPlanarHorz,fixedShapeCostPlanarVert,routeShapeCostPlanarNDR,routeShapeCostViaNDR,fixedShapeCostViaNDR,fixedShapeCostPlanarHorzNDR,fixedShapeCostPlanarVertNDR,guide,src,dst
6997,37,40,0,146160,143930,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
6998,38,40,0,146400,143930,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0
6999,39,40,0,146640,143930,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
7165,31,41,0,144240,144115,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7166,32,41,0,144480,144115,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7167,33,41,0,144720,144115,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7168,34,41,0,145200,144115,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
7169,35,41,0,145440,144115,2,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
7170,36,41,0,145680,144115,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,0,0
7171,37,41,0,146160,144115,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
7172,38,41,0,146400,144115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,1,0,0
7173,39,41,0,146640,144115,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0
7174,40,41,0,147120,144115,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7175,41,41,0,147360,144115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7176,42,41,0,147600,144115,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7177,43,41,0,148080,144115,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7178,44,41,0,148320,144115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7179,45,41,0,148560,144115,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7180,46,41,0,149040,144115,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7181,47,41,0,149280,144115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7182,48,41,0,149520,144115,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7183,49,41,0,150000,144115,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7184,50,41,0,150240,144115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7185,51,41,0,150480,144115,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7186,52,41,0,150960,144115,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7187,53,41,0,151200,144115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7339,31,42,0,144240,144485,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7340,32,42,0,144480,144485,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7341,33,42,0,144720,144485,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7342,34,42,0,145200,144485,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,0,0
7343,35,42,0,145440,144485,2,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,0,0
7344,36,42,0,145680,144485,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,0,0
7345,37,42,0,146160,144485,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,0,0
7346,38,42,0,146400,144485,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,1,0,0
7347,39,42,0,146640,144485,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,0,1,0,0
7348,40,42,0,147120,144485,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
